id,name,ns,ew
1,06A,32.4606,85.6800
2,08A,32.5294,86.3283
3,1G4,35.9903,113.8164
4,6B0,43.9847,73.0958
5,8F3,33.6239,101.2408
6,A0219.4326,99.1332
7,A0319.4326,99.1332
8,A0719.4326,99.1332
9,A1219.4326,99.1332
10,A13,61.3414,148.9989
11,A2319.4326,99.1332
12,A26,41.1864,120.9544
13,A2719.4326,99.1332
14,A28,41.8764,120.1467
15,A2919.4326,99.1332
16,A3719.4326,99.1332
17,A4019.4326,99.1332
18,A51,29.7586,85.2892
19,A5219.4326,99.1332
20,A57,59.1992,138.4511
21,A7119.4326,99.1332
22,A7219.4326,99.1332
23,A7419.4326,99.1332
24,A8319.4326,99.1332
25,A9719.4326,99.1332
26,A9819.4326,99.1332
27,AA819.4326,99.1332
28,AAN19.4326,99.1332
29,ABE,40.6522,75.4403
30,ABI,32.4114,99.6819
31,ABL19.4326,99.1332
32,ABQ,35.0403,106.6092
33,ABR,45.4492,98.4219
34,ABV19.4326,99.1332
35,ABY,31.5356,84.1944
36,ACA19.4326,99.1332
37,ACC19.4326,99.1332
38,ACK,41.2531,70.0603
39,ACT,31.6114,97.2306
40,ACV,40.9781,124.1086
41,ACY,39.4575,74.5772
42,ADA19.4326,99.1332
43,ADD19.4326,99.1332
44,ADJ19.4326,99.1332
45,ADK,51.8781,176.6461
46,ADL19.4326,99.1332
47,ADQ,57.7500,152.4939
48,ADS,32.9686,96.8364
49,ADW,38.8108,76.8669
50,ADZ19.4326,99.1332
51,AET19.4326,99.1332
52,AEX,31.3275,92.5486
53,AEY19.4326,99.1332
54,AF119.4326,99.1332
55,AFK,40.6056,95.8678
56,AFW,32.9878,97.3189
57,AGC,40.3544,79.9303
58,AGN19.4326,99.1332
59,AGP19.4326,99.1332
60,AGS,33.3700,81.9644
61,AGT19.4326,99.1332
62,AGU19.4326,99.1332
63,AHN,33.9486,83.3264
64,AIA,42.0533,102.8039
65,AIN19.4326,99.1332
66,AKB19.4326,99.1332
67,AKI,60.9028,161.2306
68,AKK,56.9386,154.1825
69,AKL19.4326,99.1332
70,AKN,58.6764,156.6486
71,AKP,68.1336,151.7433
72,AL419.4326,99.1332
73,AL519.4326,99.1332
74,ALA19.4326,99.1332
75,ALB,42.7492,73.8019
76,ALM,32.8400,105.9906
77,ALN,38.8903,90.0461
78,ALO,42.5572,92.4003
79,ALS,37.4350,105.8667
80,ALW,46.0947,118.2889
81,ALZ19.4326,99.1332
82,AMA,35.2194,101.7058
83,AMD19.4326,99.1332
84,AMK19.4326,99.1332
85,AMM19.4326,99.1332
86,AMS19.4326,99.1332
87,ANB,33.5881,85.8581
88,ANC,61.1744,149.9964
89,AND,34.4944,82.7094
90,ANF19.4326,99.1332
91,ANI,61.5817,159.5431
92,ANP,38.9428,76.5683
93,ANU19.4326,99.1332
94,ANV,62.6467,160.1906
95,AOH,40.7069,84.0267
96,AOO,40.2964,78.3200
97,AOS19.4326,99.1332
98,APA,39.5700,104.8494
99,APC,38.2133,122.2806
100,APF,26.1523,81.7758
101,APN,45.0781,83.5603
102,APW19.4326,99.1332
103,ARA,30.0378,91.8839
104,ARC,68.1147,145.5794
105,ARN19.4326,99.1332
106,ART,43.9919,76.0217
107,ASD,30.3464,89.8208
108,ASE,39.2231,106.8689
109,ASN,33.5694,86.0511
110,AST,46.1581,123.8786
111,ASU19.4326,99.1332
112,ATH19.4326,99.1332
113,ATK,70.4672,157.4358
114,ATL,33.6367,84.4281
115,ATT19.4326,99.1332
116,ATU,52.8283,173.1803
117,ATW,44.2581,88.5192
118,ATY,44.9139,97.1547
119,AUA19.4326,99.1332
120,AUG,44.3206,69.7972
121,AUH,40.8942,97.9944
122,AUK,62.6800,164.6600
123,AUS,30.1944,97.6700
124,AUZ19.4326,99.1332
125,AVB19.4326,99.1332
126,AVL,35.4361,82.5417
127,AVP,41.3383,75.7233
128,AXA,43.0778,94.2719
129,AXM19.4326,99.1332
130,AXN,45.8664,95.3947
131,AZ319.4326,99.1332
132,AZ419.4326,99.1332
133,AZA19.4326,99.1332
134,AZO,42.2344,85.5517
135,AZS19.4326,99.1332
136,BAD,32.5019,93.6625
137,BAF,42.1578,72.7156
138,BAH19.4326,99.1332
139,BAQ19.4326,99.1332
140,BBX19.4326,99.1332
141,BCE,37.7064,112.1458
142,BCN19.4326,99.1332
143,BCT,26.3785,80.1078
144,BDA19.4326,99.1332
145,BDL,41.9389,72.6833
146,BDR,41.1633,73.1261
147,BDS19.4326,99.1332
148,BDY19.4326,99.1332
149,BED,42.4700,71.2892
150,BEG19.4326,99.1332
151,BEH,42.1286,86.4286
152,BET,60.7797,161.8381
153,BFB19.4326,99.1332
154,BFD,41.8031,78.6400
155,BFF,41.8739,103.5956
156,BFI,47.5300,122.3019
157,BFK,36.8633,99.6186
158,BFL,35.4339,119.0578
159,BFM,30.6267,88.0681
160,BFS19.4326,99.1332
161,BGA19.4326,99.1332
162,BGI19.4326,99.1332
163,BGM,42.2086,75.9797
164,BGR,44.8075,68.8281
165,BGX19.4326,99.1332
166,BH119.4326,99.1332
167,BHB,44.4497,68.3617
168,BHD19.4326,99.1332
169,BHM,33.5639,86.7522
170,BHX19.4326,99.1332
171,BIC19.4326,99.1332
172,BID,41.1681,71.5778
173,BIF,31.8494,106.3800
174,BIG,63.9950,145.7200
175,BIH,37.3731,118.3636
176,BIL,45.8078,108.5428
177,BIM19.4326,99.1332
178,BIO19.4326,99.1332
179,BIS,46.7728,100.7458
180,BIX,30.4106,88.9244
181,BJC,39.9089,105.1172
182,BJI,47.5108,94.9347
183,BJV19.4326,99.1332
184,BJX19.4326,99.1332
185,BKC19.4326,99.1332
186,BKE,44.8372,117.8092
187,BKG19.4326,99.1332
188,BKK19.4326,99.1332
189,BKL,41.5175,81.6833
190,BKO19.4326,99.1332
191,BKW,37.7872,81.1242
192,BLA19.4326,99.1332
193,BLD19.4326,99.1332
194,BLF,37.2958,81.2078
195,BLG,61.1722,151.0439
196,BLI,48.7928,122.5375
197,BLL19.4326,99.1332
198,BLM,40.1869,74.1250
199,BLQ19.4326,99.1332
200,BLR19.4326,99.1332
201,BLV,38.5453,89.8353
202,BMA19.4326,99.1332
203,BMG,39.1461,86.6167
204,BMI,40.4772,88.9158
205,BMX19.4326,99.1332
206,BNA,36.1244,86.6783
207,BNE19.4326,99.1332
208,BOD19.4326,99.1332
209,BOG19.4326,99.1332
210,BOH19.4326,99.1332
211,BOI,43.5644,116.2228
212,BOK,42.0744,124.2900
213,BOM19.4326,99.1332
214,BON19.4326,99.1332
215,BOS,42.3631,71.0064
216,BPT,29.9508,94.0206
217,BQK,31.2592,81.4664
218,BQN,18.4949,67.1294
219,BRD,46.4017,94.1356
220,BRE19.4326,99.1332
221,BRL,40.7833,91.1256
222,BRM19.4326,99.1332
223,BRN19.4326,99.1332
224,BRO,25.9068,97.4258
225,BRS19.4326,99.1332
226,BRU19.4326,99.1332
227,BRW,71.2856,156.7661
228,BSB19.4326,99.1332
229,BSL19.4326,99.1332
230,BSZ19.4326,99.1332
231,BTI,70.1339,143.5819
232,BTL,42.3072,85.2514
233,BTM,45.9547,112.4975
234,BTR,30.5328,91.1500
235,BTS19.4326,99.1332
236,BTT,66.9139,151.5292
237,BTV,44.4719,73.1533
238,BUD19.4326,99.1332
239,BUF,42.9406,78.7322
240,BUR,34.2006,118.3586
241,BVO,36.7642,96.0111
242,BVU,35.9475,114.8611
243,BVY,42.5842,70.9161
244,BWD,31.7936,98.9564
245,BWG,36.9644,86.4197
246,BWI,39.1753,76.6683
247,BWS19.4326,99.1332
248,BYH,35.9644,89.9439
249,BYW19.4326,99.1332
250,BZE19.4326,99.1332
251,BZN,45.7775,111.1519
252,BZZ19.4326,99.1332
253,C01,39.6556,75.0144
254,CA219.4326,99.1332
255,CAD,44.2753,85.4189
256,CAE,33.9389,81.1194
257,CAI19.4326,99.1332
258,CAK,40.9161,81.4422
259,CAN19.4326,99.1332
260,CAY19.4326,99.1332
261,CBE,39.6153,78.7619
262,CCS19.4326,99.1332
263,CCU19.4326,99.1332
264,CDB,55.2061,162.7256
265,CDC,37.7008,113.0989
266,CDG19.4326,99.1332
267,CDL19.4326,99.1332
268,CDR,42.8375,103.0956
269,CDV,60.4917,145.4775
270,CEB19.4326,99.1332
271,CEC,41.7803,124.2367
272,CEF,42.1939,72.5347
273,CEM,65.5739,144.7808
274,CEQ19.4326,99.1332
275,CEV,39.6986,85.1297
276,CEW,30.7789,86.5222
277,CEX19.4326,99.1332
278,CEZ,37.3031,108.6281
279,CFA19.4326,99.1332
280,CFB19.4326,99.1332
281,CFG19.4326,99.1332
282,CFT,32.9569,109.2111
283,CGA19.4326,99.1332
284,CGF,41.5650,81.4864
285,CGI,37.2253,89.5708
286,CGK19.4326,99.1332
287,CGN19.4326,99.1332
288,CGP19.4326,99.1332
289,CGS,38.9806,76.9222
290,CHA,35.0353,85.2036
291,CHD,33.2692,111.8111
292,CHI19.4326,99.1332
293,CHO,38.1386,78.4528
294,CHP,65.4856,144.6108
295,CHR19.4326,99.1332
296,CHS,32.8986,80.0406
297,CHU,43.5964,91.5039
298,CHZ19.4326,99.1332
299,CIC,39.7953,121.8583
300,CID,41.8847,91.7108
301,CIG19.4326,99.1332
302,CIK,66.6450,143.7400
303,CIU,46.2508,84.4725
304,CIW19.4326,99.1332
305,CJS19.4326,99.1332
306,CJU19.4326,99.1332
307,CKB,39.2967,80.2281
308,CKD19.4326,99.1332
309,CKX,64.0714,141.9522
310,CLD19.4326,99.1332
311,CLE,41.4094,81.8550
312,CLF,64.2569,149.1861
313,CLL,30.5886,96.3639
314,CLM,48.1203,123.4997
315,CLO19.4326,99.1332
316,CLP,58.8336,158.5294
317,CLT,35.2139,80.9431
318,CLU19.4326,99.1332
319,CMA,34.2139,119.0944
320,CME19.4326,99.1332
321,CMH,39.9981,82.8919
322,CMI,40.0389,88.2778
323,CMN19.4326,99.1332
324,CMW19.4326,99.1332
325,CMX,47.1683,88.4892
326,CNF19.4326,99.1332
327,CNM,32.3375,104.2633
328,CNO,33.9747,117.6364
329,CNS19.4326,99.1332
330,CNY,38.7550,109.7547
331,COD,44.5203,109.0239
332,COE,47.7744,116.8194
333,COR19.4326,99.1332
334,COS,38.8058,104.7008
335,COU,38.8181,92.2197
336,CPH19.4326,99.1332
337,CPR,42.9081,106.4644
338,CPS,38.5708,90.1561
339,CPT,32.3539,97.4339
340,CPX,18.3133,65.3044
341,CRG,30.3364,81.5144
342,CRK19.4326,99.1332
343,CRP,27.7704,97.5011
344,CRW,38.3731,81.5933
345,CSG,32.5164,84.9389
346,CSL19.4326,99.1332
347,CSM,35.3397,99.2006
348,CT119.4326,99.1332
349,CTG19.4326,99.1332
350,CTS19.4326,99.1332
351,CUC19.4326,99.1332
352,CUL,38.0894,88.1231
353,CUN19.4326,99.1332
354,CUR19.4326,99.1332
355,CUU19.4326,99.1332
356,CVG,39.0489,84.6678
357,CVM19.4326,99.1332
358,CVN,34.4250,103.0792
359,CVO,44.4972,123.2894
360,CVS,34.3828,103.3222
361,CWA,44.7775,89.6667
362,CWB19.4326,99.1332
363,CWF,30.2106,93.1431
364,CWL19.4326,99.1332
365,CXF,67.2522,150.2039
366,CXH19.4326,99.1332
367,CXI19.4326,99.1332
368,CYB19.4326,99.1332
369,CYF19.4326,99.1332
370,CYM19.4326,99.1332
371,CYS,41.1556,104.8106
372,CZF,61.7811,166.0394
373,CZM19.4326,99.1332
374,CZN,62.0711,142.0483
375,DAB,29.1800,81.0581
376,DAC19.4326,99.1332
377,DAD19.4326,99.1332
378,DAG,34.8536,116.7867
379,DAL,32.8472,96.8517
380,DAR19.4326,99.1332
381,DAY,39.9025,84.2194
382,DBQ,42.4019,90.7094
383,DCA,38.8522,77.0378
384,DCK,66.9433,156.9047
385,DCU,34.6542,86.9453
386,DDC,37.7631,99.9656
387,DEC,39.8344,88.8656
388,DEL19.4326,99.1332
389,DEN,39.8617,104.6731
390,DET,42.4092,83.0100
391,DFW,32.8969,97.0381
392,DGB19.4326,99.1332
393,DGO19.4326,99.1332
394,DHA19.4326,99.1332
395,DHF19.4326,99.1332
396,DHN,31.3214,85.4497
397,DIK,46.7975,102.8019
398,DIO19.4326,99.1332
399,DKR,31.3069,95.4039
400,DLA19.4326,99.1332
401,DLC,34.4492,79.3686
402,DLG,59.0447,158.5056
403,DLH,46.8422,92.1936
404,DLM19.4326,99.1332
405,DMA,32.1664,110.8831
406,DME19.4326,99.1332
407,DMK19.4326,99.1332
408,DMM19.4326,99.1332
409,DNA19.4326,99.1332
410,DNB19.4326,99.1332
411,DNN,34.7231,84.8703
412,DNV,40.1997,87.5956
413,DOF19.4326,99.1332
414,DOH19.4326,99.1332
415,DOM19.4326,99.1332
416,DOV,39.1294,75.4661
417,DPA,41.9069,88.2483
418,DPG,40.1975,112.9350
419,DQH,31.4767,82.8606
420,DQK19.4326,99.1332
421,DQL19.4326,99.1332
422,DQP19.4326,99.1332
423,DQR19.4326,99.1332
424,DQS19.4326,99.1332
425,DRB19.4326,99.1332
426,DRF19.4326,99.1332
427,DRG19.4326,99.1332
428,DRO,37.1514,107.7539
429,DRT,29.3742,100.9272
430,DRW19.4326,99.1332
431,DSA19.4326,99.1332
432,DSM,41.5339,93.6631
433,DTH19.4326,99.1332
434,DTT19.4326,99.1332
435,DTW,42.2125,83.3533
436,DUB19.4326,99.1332
437,DUJ,41.1783,78.8986
438,DUR19.4326,99.1332
439,DUS19.4326,99.1332
440,DUT,53.9000,166.5436
441,DVL,48.1144,98.9086
442,DWA,38.5789,121.8567
443,DWH,30.0619,95.5528
444,DXB19.4326,99.1332
445,DYR,35.9981,89.4067
446,DZN19.4326,99.1332
447,EAA,64.7781,141.1497
448,EAR,40.7269,99.0067
449,EAT,47.3981,120.2058
450,EAU,44.8658,91.4842
451,EBB19.4326,99.1332
452,ECP19.4326,99.1332
453,ECU,29.9469,100.1739
454,EDA19.4326,99.1332
455,EDF,61.2514,149.8064
456,EDI19.4326,99.1332
457,EDW,34.9086,117.8839
458,EEK,60.2136,162.0439
459,EEN,42.8983,72.2708
460,EFD,29.6072,95.1589
461,EGC19.4326,99.1332
462,EGE,39.6414,106.9175
463,EGV,45.9322,89.2683
464,EGX19.4326,99.1332
465,EHM,58.6464,162.0628
466,EIL,64.6656,147.1014
467,EIS19.4326,99.1332
468,EJA19.4326,99.1332
469,EKA,40.8033,124.1128
470,EKI19.4326,99.1332
471,EKO,40.8250,115.7917
472,EKY,33.3125,86.9264
473,ELD,33.2211,92.8133
474,ELH19.4326,99.1332
475,ELI,64.6150,162.2706
476,ELM,42.1600,76.8917
477,ELN,47.0331,120.5306
478,ELP,31.8072,106.3775
479,ELV19.4326,99.1332
480,ELY,39.2997,114.8419
481,EMA19.4326,99.1332
482,EMK19.4326,99.1332
483,ENA,60.5733,151.2447
484,ENN,64.5472,149.0739
485,ENV,40.7186,114.0308
486,ENW,42.5956,87.9278
487,EPA19.4326,99.1332
488,EPH,47.3081,119.5169
489,ERI,42.0819,80.1761
490,ESB19.4326,99.1332
491,ESC,45.7228,87.0936
492,ESD19.4326,99.1332
493,ESN,38.8042,76.0689
494,EUG,44.1244,123.2119
495,EVE19.4326,99.1332
496,EVV,38.0369,87.5322
497,EVX19.4326,99.1332
498,EWB,41.6761,70.9569
499,EWN,35.0731,77.0431
500,EWR,40.6925,74.1686
501,EXI19.4326,99.1332
502,EYW,24.5561,81.7594
503,EZE19.4326,99.1332
504,FAB19.4326,99.1332
505,FAI,64.8156,147.8586
506,FAR,46.9206,96.8158
507,FAT,36.7761,119.7181
508,FAY,34.9911,78.8803
509,FBK,64.8375,147.6144
510,FCA19.4326,99.1332
511,FCM,44.8272,93.4572
512,FCO19.4326,99.1332
513,FDF19.4326,99.1332
514,FDY,41.0119,83.6686
515,FFM,46.2844,96.1567
516,FFO,39.8258,84.0461
517,FFT,38.1819,84.9061
518,FGI19.4326,99.1332
519,FHB,30.6119,81.4611
520,FHU,31.5883,110.3444
521,FID19.4326,99.1332
522,FKB19.4326,99.1332
523,FKI19.4326,99.1332
524,FKL,41.3778,79.8603
525,FLG,35.1403,111.6692
526,FLL,26.0726,80.1528
527,FLO,34.1853,79.7239
528,FLR19.4326,99.1332
529,FLT,62.4528,157.9892
530,FMN,36.7411,108.2300
531,FMY,26.5866,81.8633
532,FNL,40.4519,105.0114
533,FNR19.4326,99.1332
534,FNT,42.9656,83.7436
535,FOD,42.5511,94.1919
536,FOE,38.9508,95.6636
537,FOK,40.8436,72.6317
538,FOR19.4326,99.1332
539,FPO19.4326,99.1332
540,FPR,27.4951,80.3683
541,FQQ19.4326,99.1332
542,FQW19.4326,99.1332
543,FRA19.4326,99.1332
544,FRD19.4326,99.1332
545,FRG,40.7289,73.4133
546,FRS19.4326,99.1332
547,FRU19.4326,99.1332
548,FSD,43.5819,96.7419
549,FSM,35.3367,94.3675
550,FSP,63.0186,154.3583
551,FTW,32.8197,97.3625
552,FTY,33.7792,84.5214
553,FUK19.4326,99.1332
554,FVC19.4326,99.1332
555,FVG19.4326,99.1332
556,FVO19.4326,99.1332
557,FVQ19.4326,99.1332
558,FVX,37.3575,78.4378
559,FVZ19.4326,99.1332
560,FWA,40.9783,85.1953
561,FWH19.4326,99.1332
562,FWL,62.5067,153.8936
563,FXE,26.1973,80.1708
564,FYU,66.5714,145.2506
565,FYV,36.0050,94.1700
566,GAI,39.1683,77.1661
567,GAL,64.7361,156.9375
568,GAM,63.7667,171.7328
569,GAO,29.4411,90.2611
570,GAQ19.4326,99.1332
571,GB119.4326,99.1332
572,GBD,38.3442,98.8592
573,GBH,68.4797,149.4900
574,GCC,44.3489,105.5394
575,GCK,37.9275,100.7244
576,GCM,36.2928,95.4797
577,GCN,35.9522,112.1469
578,GDC19.4326,99.1332
579,GDL19.4326,99.1332
580,GDN19.4326,99.1332
581,GDT19.4326,99.1332
582,GDV,47.1386,104.8072
583,GDX19.4326,99.1332
584,GED,38.6892,75.3589
585,GEG,47.6200,117.5339
586,GEK19.4326,99.1332
587,GEO,38.8819,83.8828
588,GFK,47.9492,97.1761
589,GFL,43.3411,73.6103
590,GGG,32.3839,94.7114
591,GGT19.4326,99.1332
592,GGW,48.2125,106.6147
593,GHB19.4326,99.1332
594,GIG19.4326,99.1332
595,GJT,39.1225,108.5267
596,GKN,62.1550,145.4544
597,GLA19.4326,99.1332
598,GLH,33.4828,90.9856
599,GLR,45.0136,84.7036
600,GLV19.4326,99.1332
601,GMP19.4326,99.1332
602,GMT19.4326,99.1332
603,GND19.4326,99.1332
604,GNU,59.1175,161.5775
605,GNV,29.6900,82.2717
606,GOA19.4326,99.1332
607,GON,41.3300,72.0450
608,GOT19.4326,99.1332
609,GPT,30.4072,89.0700
610,GRB,44.4847,88.1297
611,GRI,40.9675,98.3097
612,GRK,31.0672,97.8289
613,GRR,42.8808,85.5228
614,GRS19.4326,99.1332
615,GRU19.4326,99.1332
616,GRZ19.4326,99.1332
617,GSB,35.3394,77.9606
618,GSO,36.0978,79.9372
619,GSP,34.8956,82.2189
620,GST,58.4253,135.7075
621,GTB,44.0556,75.7194
622,GTF,47.4828,111.3706
623,GTR,33.4503,88.5914
624,GTU,30.6789,97.6794
625,GUA19.4326,99.1332
626,GUC,38.5339,106.9331
627,GUF19.4326,99.1332
628,GUM,13.4839,144.7972
629,GUP,35.5111,108.7894
630,GUS,40.6481,86.1522
631,GVA19.4326,99.1332
632,GYE19.4326,99.1332
633,GYM19.4326,99.1332
